OTUID	Sa.F.D.28	Sa.F.D.30	Sa.F.D.33	Sa.F.D.35	Sa.M.D.27	Sa.M.D.29	Sa.M.D.31	Sa.M.D.32	Sa.M.D.36	Sb.F.D.37	Sb.F.D.39	Sb.F.D.44	Sb.F.D.45	Sb.M.D.38	Sb.M.D.41	Sb.M.D.42	Sb.M.D.43	Sb.M.D.46	Sa.F.R.72	Sa.F.R.73	Sa.F.R.76	Sa.F.R.80	Sa.F.R.82	Sa.F.R.83	Sa.F.R.84	Sa.M.R.74	Sa.M.R.75	Sa.M.R.77	Sa.M.R.79	Sa.M.R.81	Sb.F.R.88	Sb.F.R.89	Sb.F.R.90	Sb.F.R.92	Sb.F.R.96	Sb.F.R.97	Sb.F.R.99	Sb.M.R.85	Sb.M.R.86	Sb.M.R.87	Sb.M.R.91	Sb.M.R.93	Sb.M.R.94	Sb.M.R.95	Sb.M.R.98
65fa4e663bab2956902409201fb06684	7	0	0	39	0	0	0	0	0	4	0	0	4	0	5	0	8	0	0	24	0	0	0	0	0	0	31	39	0	0	0	66	18	69	0	0	20	19	6	0	11	78	0	16	40
dac805798731dcda6cef1188fcf34145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	33	0	0	0	0	0
8033a7d22c7513e4bffd2ac194c695fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
b3b85712c00d0750ff579836e3c8da87	0	0	0	0	0	0	0	0	0	0	9	9	0	0	6	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	14	56	0	10	16	0	21	0	45	0	0	9	0
2223ab038b470d87c16e3781939f5198	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
65f1d29871c8da3b9207a0baeea0f9af	96	0	0	0	0	103	77	0	0	0	0	0	0	0	0	0	15	0	0	76	0	0	0	0	0	0	127	140	287	0	0	0	0	39	0	0	83	0	47	35	0	0	0	0	0
ce65bfb5ffde7c8922f191a00790d32e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a25a1cc351aa88f9a473d5195f28efc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0
ba770a970df4e80a1d0a3e3d9b33bfa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	35	0	0	0	0	0	370	0	18	0	0	174	0	22	94	0	0	0	0	0	0	0	0	15
e6d9fe4bfdd2114788308701911d6a9e	0	19	0	0	0	3	0	0	0	0	5	13	0	7	0	0	0	3	0	10	0	0	36	17	0	4	27	78	0	0	23	0	5	0	0	0	50	0	0	0	0	0	0	0	0
2afd81e05992550f91838c57bdeb8158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f43fc1ca913923c04b705d8a75a8e7f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b02a8d33d018119dedb2db15db887bfd	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52f23d41dd1efcff20650015de395e5f	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	30	0	0	0	25	0	0	0	0	0	0	0	0	0
d73b68ba80eedfaed625d2d865009639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8eb3e86e896febff5f3e223f84ba94b	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	26	0	0	39	35	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90be7bdc46827e543a16a5b715d885bb	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	39	0	0	0	0	94	0	39
6c03b06d543f32721c9e0014c9f9ceac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
1e8a81288a7b6a1899740782edfb1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	14	0
