#OTU ID	Sa.F.D.28	Sa.F.D.30	Sa.F.D.33	Sa.F.D.35	Sa.M.D.27	Sa.M.D.29	Sa.M.D.31	Sa.M.D.32	Sa.M.D.36	Sb.F.D.37	Sb.F.D.39	Sb.F.D.44	Sb.F.D.45	Sb.M.D.38	Sb.M.D.41	Sb.M.D.42	Sb.M.D.43	Sb.M.D.46	ZA.H12.E86	ZA.H14.E88	ZA.H15.E89	ZA.H17.E91	ZA.H20.E94	ZA.H21.E95	ZA.H23.E97	ZA.H26.E100	ZA.H3.E77	ZA.H4.E78	ZA.H5.E79	ZA.H7.E81	ZA.H8.E82	ZA.H9.E83	ZA.M1.E75	ZA.M10.E84	ZA.M11.E85	ZA.M13.E87	ZA.M16.E90	ZA.M18.E92	ZA.M22.E96	ZA.M25.E99	ZA.M6.E80	ZB.H1.E26	ZB.H10.E35	ZB.H11.E36	ZB.H12.E37	ZB.H13.E38	ZB.H14.E39	ZB.H15.E40	ZB.H16.E41	ZB.H17.E42	ZB.H18.E43	ZB.H2.E27	ZB.H20.E45	ZB.H21.E46	ZB.H3.E28	ZB.H4.E29	ZB.H5.E30	ZB.H6.E31	ZB.H7.E32	ZB.H8.E33	ZB.H9.E34	ZB.M1.E1	ZB.M10.E11	ZB.M12.E14	ZB.M13.E15	ZB.M14.E16	ZB.M16.E18	ZB.M17.E19	ZB.M18.E20	ZB.M19.E21	ZB.M2.E2	ZB.M20.E22	ZB.M21.E23	ZB.M22.E24	ZB.M4.E4	ZB.M6.E6	ZB.M7.E7	ZB.M8.E8	ZB.M9.E10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	12	36	0	28	0	0	18	0	10	0	0	66	0	0	0	32	0	21	4	0	2	2	3	16	8	0	12	2	5	9	1	6	4	1	3	5	2	4	4	10	5	45	5	3	2	5	4	12	15	13	0	20	21	7	0	3	1	2	1	2	11	3	1	0	0	0	2	16	5	1	1	11	4	16	2	3	15	2	11
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	23	27	14	991	165	670	255	0	281	52	585	241	247	476	0	148	76	127	3	11	14	0	6	10	2	11	7	18	10	88	0	2	10	1	1	17	96	10	5	2	17	13	34	2	3	1	16	7	8	2	29	3	23	9	0	2	0	0	1	4	11	1	4	0	0	1	13	4	6	1	1	8	0	4	18	1	12	0	10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4	8	0	6	8	0	0	117	0	12	4	0	147	11	118	0	27	11	17	1	2	0	0	1	3	0	0	0	3	1	28	0	0	8	1	0	5	14	1	1	0	3	0	0	0	2	14	0	0	0	1	4	0	5	0	0	3	2	0	9	0	2	13	3	0	4	1	4	0	0	11	0	0	0	0	0	0	1	0	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae	201	405	23	49	24	76	33	263	306	17	165	142	108	272	56	415	22	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae2;g__Ruminococcaceae2	15	44	0	0	10	0	22	16	0	0	38	0	0	12	0	42	7	10	18	15	2	6	47	47	11	24	11	22	22	63	8	22	19	4	14	12	31	53	17	17	25	3	16	25	20	26	7	11	18	20	5	36	11	58	0	6	13	1	35	6	12	38	19	7	9	9	15	12	8	31	10	9	3	6	0	14	15	32	12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	57	0	6	25	0	0	7	21	28	12	32	87	20	39	0	13	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	6	1	1	1	1	1	1	0	4	0	0	1	1	3	6	1	0	1	0	0	8	0	2	2	3	1	3	0	0	0	3	0	0	3	0	0	0	0	0	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	218	155	13	176	99	109	74	184	160	46	299	229	165	190	4	232	62	152	16	9	11	8	20	112	22	19	21	14	24	116	4	27	18	3	24	27	79	71	43	12	69	4	45	61	40	51	23	20	30	39	23	14	25	39	0	8	22	1	33	41	30	15	13	0	10	7	28	7	8	33	4	6	3	14	3	2	5	30	5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	69	61	5	53	20	15	0	25	41	0	71	127	28	123	3	42	30	39	11	5	0	0	8	20	3	4	7	6	8	10	0	8	4	0	5	6	21	23	9	1	29	7	10	10	12	11	0	4	15	27	4	5	8	13	0	6	15	3	3	3	10	18	8	3	3	1	5	3	2	2	0	1	4	2	0	0	7	5	8
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae	10	20	18	0	0	12	0	0	0	0	0	0	7	36	0	0	0	0	11	2	0	1	5	4	10	1	12	2	14	23	1	12	10	3	3	8	6	5	3	1	10	10	7	15	7	12	16	17	10	3	1	3	3	80	0	3	14	8	12	13	5	16	3	0	2	1	0	1	7	3	1	4	16	2	0	4	36	7	37
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Eubacterium	6	19	0	21	8	11	0	38	0	0	0	0	20	70	0	14	0	10	0	0	5	4	1	3	41	0	19	0	21	36	3	28	0	0	4	0	0	2	0	1	5	32	11	5	4	10	2	12	15	8	0	1	50	0	0	25	0	4	2	0	2	0	4	1	0	16	3	18	9	1	1	7	0	115	0	0	7	4	29
